;parent;name;inner.name
0;Russia needs strong leadership;Is Putin Democrat?;How many terms has Putin served?
1;Russia needs strong leadership;Is Putin Democrat?;How many languages does Putin speak?
2;Russia needs strong leadership;How high is Russia's population growth rate?;Why is Russia's population decreasing?
3;Russia needs strong leadership;How high is Russia's population growth rate?;Why has Russia's population declining?
4;Russia needs strong leadership;How high is Russia's population growth rate?;What country has the most people?
5;Russia needs strong leadership;How high is Russia's natural gas consumption?;What country has the most natural gas in the world?
6;Russia needs strong leadership;How high is Russia's natural gas consumption?;How much natural gas is in Russia?
7;Russia needs strong leadership;How high is Russia's natural gas consumption?;Does Russia have natural gas?
8;Russia needs strong leadership;How productive is Russia?;What are the most productive countries in the world?
9;Russia needs strong leadership;How productive is Russia?;What type of economy does Russia have?
10;Russia needs strong leadership;How productive is Russia?;How can Labour productivity be increased?
