;parent;name;inner.name
0;"We must be a libertarian; right or left, right or wrong";Are Libertarians more left or right?;Are Libertarians like Republicans?
1;"We must be a libertarian; right or left, right or wrong";Are Libertarians more left or right?;Are Libertarians more Democrat or Republican?
2;"We must be a libertarian; right or left, right or wrong";Is anarchy left or right wing?;Is free market left or right?
3;"We must be a libertarian; right or left, right or wrong";Is anarchy left or right wing?;Is a Tory a conservative?
4;"We must be a libertarian; right or left, right or wrong";Is anarchy left or right wing?;What do anarchists do?
5;"We must be a libertarian; right or left, right or wrong";Are Libertarians Democrats?;Are Mary Matalin and James Carville still married?
6;"We must be a libertarian; right or left, right or wrong";Are Libertarians Democrats?;Why does Penn paint his nail?
7;"We must be a libertarian; right or left, right or wrong";Are Libertarians Democrats?;Who started the Libertarian Party?
8;"We must be a libertarian; right or left, right or wrong";What do right libertarians believe?;Do Libertarians believe in socialism?
9;"We must be a libertarian; right or left, right or wrong";What do right libertarians believe?;What does social libertarian mean?
10;"We must be a libertarian; right or left, right or wrong";What do right libertarians believe?;How many libertarian Senators are there?
